City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
204,cuatro cienegas de carranza,26.9833,-102.0833,25.04,76,0,2.67,MX,1726545933
205,aioun,16.6614,-9.6149,26.17,71,91,2.08,MR,1726545934
206,medicine hat,50.0501,-110.6683,18.24,55,40,4.12,CA,1726545935
207,lingyuan,41.24,119.4011,20.36,66,90,1.21,CN,1726545936
208,uturoa,-16.7333,-151.4333,26.05,82,96,3.84,PF,1726545937
209,iranshahr,27.2025,60.6848,28.19,39,0,2.06,IR,1726545938
210,laguna,38.421,-121.4238,19.08,61,0,1.54,US,1726545939
211,brookings,44.3114,-96.7984,22.0,78,0,6.17,US,1726545940
212,khabary,53.6259,79.5345,8.03,60,0,4.18,RU,1726545942
213,kununurra,-15.7667,128.7333,18.99,77,100,4.63,AU,1726545943
214,cabedelo,-6.9811,-34.8339,23.37,81,38,4.35,BR,1726545944
215,greymouth,-42.4667,171.2,10.32,48,43,1.9,NZ,1726545945
216,mareeba,-17.0,145.4333,21.25,78,99,4.74,AU,1726545946
217,lerwick,60.1545,-1.1494,12.16,94,100,6.83,GB,1726545947
218,kangding,30.0513,101.9603,19.13,79,100,2.45,CN,1726545948
219,kitimat,54.0524,-128.6534,13.28,25,100,1.79,CA,1726545949
220,angarsk,52.5367,103.8864,4.51,79,100,4.31,RU,1726545950
221,kaa-khem,51.6833,94.7333,7.61,54,68,1.18,RU,1726545951
222,luderitz,-26.6481,15.1594,11.14,86,0,6.95,NA,1726545952
223,potoci,43.4086,17.8786,10.73,100,40,1.03,BA,1726545953
224,olyokminsk,60.3736,120.4264,5.99,63,93,4.23,RU,1726545954
225,batie,9.8833,-2.9167,22.51,95,99,1.56,BF,1726545955
226,tenenkou,14.4572,-4.9169,24.94,85,57,2.02,ML,1726545956
227,gaoual,11.75,-13.2,21.92,98,100,1.5,GN,1726545958
228,port mathurin,-19.6833,63.4167,21.44,71,28,7.69,MU,1726545959
229,papao,-17.75,-149.55,25.82,83,77,4.51,PF,1726545960
230,powell river,49.8496,-124.5361,15.15,72,23,1.59,CA,1726545961
231,ixtapa,20.7,-105.2,27.57,83,75,1.54,MX,1726545962
232,khirkiyan,22.1667,76.85,25.38,77,65,3.81,IN,1726545963
233,viedma,-40.8135,-62.9967,11.42,51,100,7.68,AR,1726545964
234,vernon,50.2581,-119.2691,16.53,63,20,1.03,CA,1726545965
235,remire-montjoly,4.9167,-52.2667,26.02,89,43,0.51,GF,1726545966
236,coquimbo,-29.9533,-71.3436,13.85,90,100,1.54,CL,1726545970
237,pierre,44.3683,-100.351,23.51,68,0,9.26,US,1726545767
238,borogontsy,62.6683,131.1683,7.72,46,100,4.76,RU,1726545972
239,swakopmund,-22.6833,14.5333,11.67,90,60,1.76,NA,1726545973
240,san mariano,7.5,126.0,30.74,58,100,4.55,PH,1726545974
241,mahina,-17.5065,-149.489,25.87,83,0,1.54,PF,1726545975
242,kristiansund,63.1115,7.732,11.18,93,75,0.0,NO,1726545976
243,chifeng,42.2683,118.9636,21.6,53,97,1.73,CN,1726545977
244,taupo,-38.6833,176.0833,7.62,70,92,6.81,NZ,1726545978
245,dwarka,22.2394,68.9678,27.54,74,100,4.24,IN,1726545979
246,fort saskatchewan,53.7168,-113.2187,14.84,47,100,2.09,CA,1726545980
247,mersa matruh,31.3525,27.2453,22.11,68,0,2.06,EG,1726545981
248,ad dabbah,18.05,30.95,31.25,21,15,0.81,SD,1726545982
249,katsuren-haebaru,26.3369,127.8719,30.05,86,75,8.75,JP,1726545985
250,kolonia town,6.964,158.206,29.06,84,75,2.06,FM,1726545986
251,sokoni,-6.4333,39.55,24.88,76,7,4.08,TZ,1726545987
252,baker city,44.7749,-117.8344,15.84,59,100,5.14,US,1726545989
253,colonia,50.9333,6.95,13.92,88,20,2.06,DE,1726545990
254,srisailain,16.0833,78.8667,26.29,67,54,4.3,IN,1726545991
255,vila velha,-20.3297,-40.2925,23.97,84,20,3.6,BR,1726545770
256,abha,18.2164,42.5053,20.14,43,20,3.09,SA,1726545993
257,mirnyy,62.5353,113.9611,5.99,62,96,5.84,RU,1726545994
258,la sarre,48.8002,-79.1996,20.94,59,91,3.78,CA,1726545996
259,saipan,15.1355,145.701,31.39,74,40,4.63,MP,1726545997
260,zakynthos,37.7914,20.8953,17.62,77,20,0.0,GR,1726545998
261,loches,47.1333,1.0,12.06,88,46,5.22,FR,1726545999
262,alo,6.5486,4.2686,24.22,92,100,2.37,NG,1726546000
263,enniskillen,54.3461,-7.6413,12.41,99,31,0.71,GB,1726546001
264,troitsko-pechorsk,62.7084,56.1964,15.48,93,100,2.5,RU,1726546002
265,queenstown,-31.8976,26.8753,10.62,88,75,1.04,ZA,1726545785
266,ulladulla,-35.35,150.4667,16.82,48,17,5.61,AU,1726546004
267,san luis de la loma,17.2706,-100.8939,27.54,86,100,2.15,MX,1726546005
268,sarangani,5.4033,125.4636,27.82,78,97,5.73,PH,1726546006
269,tura,25.5198,90.2201,30.64,65,74,0.45,IN,1726546007
270,labytnangi,66.6572,66.4183,16.6,81,100,1.63,RU,1726546008
271,mujiayingzi,42.1167,118.7833,18.41,67,97,0.38,CN,1726546009
272,monroe,43.1501,-77.6831,18.9,88,75,0.0,US,1726546011
273,jamestown,42.097,-79.2353,16.8,78,0,1.54,US,1726545991
274,kargil,34.5667,76.1,9.1,31,0,1.49,IN,1726546013
275,zhicheng,30.2956,111.5047,31.15,53,100,3.28,CN,1726546014
276,wewak,-3.5534,143.6268,28.8,79,13,4.69,PG,1726546015
277,richards bay,-28.783,32.0377,19.05,94,100,1.48,ZA,1726546017
278,abbeville,50.1,1.8333,11.46,94,45,3.4,FR,1726546018
279,arraial do cabo,-22.9661,-42.0278,21.29,87,92,8.15,BR,1726546019
280,tamanrasset,22.785,5.5228,22.95,60,40,2.06,DZ,1726546020
281,benguela,-12.5763,13.4055,21.07,91,47,1.03,AO,1726546021
282,enewetak,11.3474,162.3373,28.9,74,97,5.08,MH,1726546022
283,melekeok village,7.4957,134.6367,30.31,79,100,6.69,PW,1726546024
284,castillos,-34.1667,-53.8333,10.31,84,0,2.0,UY,1726546025
285,newman,37.3138,-121.0208,17.24,66,35,1.79,US,1726546026
286,chernogorsk,53.8236,91.2842,5.76,75,0,2.0,RU,1726546027
287,kavaratti,10.5669,72.642,27.66,79,63,5.87,IN,1726546028
288,dudinka,69.4058,86.1778,4.88,78,8,4.81,RU,1726546029
289,holma,9.9008,13.0567,20.78,94,83,0.85,NG,1726546030
290,guane,22.2025,-84.0875,26.49,86,78,1.73,CU,1726546031
291,harper,4.375,-7.7169,24.56,85,100,2.17,LR,1726546032
292,pato branco,-26.2286,-52.6706,10.73,95,0,1.97,BR,1726546033
293,kawm umbu,24.4767,32.9463,29.38,33,0,3.34,EG,1726546034
294,saint-philippe,-21.3585,55.7679,21.14,74,67,4.99,RE,1726546035
295,ghanzi,-21.5667,21.7833,18.75,28,50,2.64,BW,1726546036
296,happy valley-goose bay,53.3168,-60.3315,12.99,94,17,2.63,CA,1726546037
297,kone,-21.0595,164.8658,23.3,42,41,5.97,NC,1726546038
298,vilyuysk,63.7553,121.6247,7.7,50,99,6.37,RU,1726546041
299,karimpur,23.9667,88.6167,29.62,75,98,3.98,IN,1726546042
300,afaahiti,-17.75,-149.2833,24.11,87,82,4.83,PF,1726546043
301,syktyvkar,61.6764,50.8099,12.85,94,0,3.0,RU,1726546044
302,itamaraca,-7.7478,-34.8256,22.87,87,23,3.78,BR,1726546045
303,suva,-18.1416,178.4415,22.71,100,75,3.6,FJ,1726546047
304,jiuquan,39.7432,98.5174,23.74,45,13,4.59,CN,1726546048
305,makoua,0.0069,15.6333,21.12,96,94,1.15,CG,1726546049
306,yeppoon,-23.1333,150.7333,21.26,60,100,6.22,AU,1726546050
307,rawson,-43.3002,-65.1023,13.0,45,85,10.23,AR,1726546051
308,casper,42.8666,-106.3131,20.96,33,0,1.79,US,1726546025
309,la passe,45.5549,-0.8967,13.26,78,3,4.13,FR,1726546054
310,murzuq,25.9155,13.9184,29.68,28,0,5.77,LY,1726546055
311,coracora,-15.0333,-73.7833,10.29,43,1,1.34,PE,1726546056
312,codrington,-38.2667,141.9667,13.6,60,100,8.13,AU,1726546057
313,nago,26.5881,127.9761,29.25,77,6,7.47,JP,1726546058
314,altai,46.3722,96.2583,14.26,22,0,8.35,MN,1726546060
315,west vancouver,49.3323,-123.1622,15.85,84,72,0.45,CA,1726546061
316,acajutla,13.5928,-89.8275,27.73,82,92,2.02,SV,1726546062
317,rio de janeiro,-22.9028,-43.2075,21.98,73,100,4.12,BR,1726545831
318,brumado,-14.2036,-41.6653,20.88,66,0,2.41,BR,1726546064
319,collinsville,38.6703,-89.9846,20.9,86,0,1.34,US,1726546065
320,belek,36.8628,31.0556,22.28,68,2,2.39,TR,1726546066
321,polyarnyy,69.1989,33.4478,9.06,84,99,4.62,RU,1726546068
322,eforie sud,44.0229,28.6494,15.65,62,9,5.55,RO,1726546069
323,itaituba,-4.2761,-55.9836,27.08,39,62,0.62,BR,1726546070
324,iskateley,67.6803,53.1512,13.09,86,73,3.74,RU,1726546071
325,cabo san lucas,22.8909,-109.9124,24.31,77,6,5.36,MX,1726546072
326,yeniseysk,58.4497,92.1703,6.62,61,100,2.16,RU,1726546073
327,alofi,-19.0595,-169.9187,26.94,78,40,4.12,NU,1726546074
328,northam,51.0333,-4.2167,11.84,82,25,3.08,GB,1726546075
